10000	0.000146
20000	0.000352
30000	0.000407
40000	0.000438
50000	0.000625
60000	0.000636
70000	0.000711
80000	0.000599
90000	0.000686
100000	0.000756
110000	0.000854
120000	0.000931
130000	0.000854
140000	0.002150
150000	0.002114
160000	0.001474
170000	0.001734
180000	0.001689
190000	0.001168
200000	0.001115
210000	0.001287
220000	0.001258
230000	0.001115
240000	0.001293
250000	0.001140
260000	0.001151
270000	0.001187
280000	0.001264
290000	0.001173
300000	0.001328
310000	0.001269
320000	0.001228
330000	0.001262
340000	0.001299
350000	0.001329
360000	0.001377
370000	0.001405
380000	0.001479
390000	0.001599
400000	0.001442
410000	0.001471
420000	0.001642
430000	0.001533
440000	0.001569
450000	0.001736
460000	0.001632
470000	0.001658
480000	0.001896
490000	0.001768
500000	0.001768
510000	0.001793
520000	0.001819
530000	0.001846
540000	0.001894
550000	0.001917
560000	0.001944
570000	0.002053
580000	0.002025
590000	0.002040
600000	0.002130
610000	0.002115
620000	0.002157
630000	0.002306
640000	0.002222
650000	0.002440
660000	0.002482
670000	0.002325
680000	0.002332
690000	0.002571
700000	0.002404
710000	0.002419
720000	0.002634
730000	0.002504
740000	0.002528
750000	0.002723
760000	0.002601
770000	0.002624
780000	0.002958
790000	0.002690
800000	0.002727
810000	0.003029
820000	0.002814
830000	0.002888
840000	0.003031
850000	0.002871
860000	0.002960
870000	0.003102
880000	0.002959
890000	0.003008
900000	0.005143
910000	0.003050
920000	0.003105
930000	0.003549
940000	0.003145
950000	0.003177
960000	0.003344
970000	0.003249
980000	0.003289
990000	0.003346
1000000	0.005405
